"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"PINEHURST BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"PINEY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POPE BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","1","0","0","1","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"PORTAL BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","0","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","1","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","1","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","MERCURY","MERCURY","DISSOLVED","4a","D","24","0","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","MERCURY","MERCURY","DISSOLVED","4a","D","1","1","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","DISSOLVED","Not Listed","none","16","0","0","16","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","3","0","0","3","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","1","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"C&O CANAL","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ZINC","ZINC","DISSOLVED","4a","D","63","46","0","63","0","27","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ZINC","ZINC","DISSOLVED","4a","D","56","51","0","56","0","19","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","none","24","7","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ZINC","ZINC","DISSOLVED","3","D","24","20","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","DISSOLVED","3","D","30","26","0","30","0","27","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","none","32","22","0","32","0","28","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"HICKEY RUN","ZINC","ZINC","DISSOLVED","3","D","193","179","0","191","0","103","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"KINGMAN LAKE","ZINC","ZINC","DISSOLVED","3","D","25","25","1","25","1","3","1","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","Yes","Remove from Category 3","13"
"KLINGLE VALLEY","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","DISSOLVED","3","D","24","7","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"NASH RUN","ZINC","ZINC","DISSOLVED","3","D","7","6","0","7","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"NORMANSTONE CREEK","ZINC","ZINC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"OXON RUN","ZINC","ZINC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ZINC","ZINC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"POPE BRANCH","ZINC","ZINC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"PORTAL BRANCH","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ZINC","ZINC","DISSOLVED","Not Listed","none","24","3","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","ZINC","ZINC","DISSOLVED","Not Listed","none","24","2","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ZINC","ZINC","DISSOLVED","Not Listed","none","24","5","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ZINC","ZINC","DISSOLVED","4a","D","24","5","0","24","0","24","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","ZINC","ZINC","DISSOLVED","Not Listed","none","200","95","0","198","0","106","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ZINC","ZINC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","none","6","5","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","ZINC","ZINC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","DISSOLVED","Not Listed","none","16","16","0","16","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","ZINC","ZINC","DISSOLVED","Not Listed","none","3","3","0","3","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","ZINC","ZINC","DISSOLVED","Not Listed","none","213","190","0","211","0","126","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ZINC","ZINC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"C&O CANAL","ZINC","ZINC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","none","6","6","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","none","6","6","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","none","2","2","0","2","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","D","63","3","1","63","1","27","59","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No","Keep in Category 4a","5"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","D","105","21","6","105","6","68","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","none","25","1","0","25","0","24","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","D","26","0","0","26","0","24","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","24","1","1","24","1","24","10","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","29","1","1","29","1","25","23","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","D","6","0","0","6","0","3","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","D","25","3","0","25","0","3","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","D","25","1","1","25","1","24","20","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 3","12"
"NASH RUN","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","3","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","4","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","D","2","0","0","2","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","none","24","2","2","24","2","24","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 5","14"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","none","24","3","3","24","3","24","5","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","D","6","6","5","6","5","3","1","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","D","3","0","0","3","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","D","19","0","0","19","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","4","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
