"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","6","6","0","0 (D)","6","0","3","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 4a","3"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Remove from Category 3","10"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","10"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","24","52","1","1 (D)","52","1","40","1","9 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","17","105","23","23 (D)","105","23","86","23","0 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","14","8","8 (D)","14","8","13","7","2 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Keep in in Category 4a","1"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","15","11","11 (D)","15","11","13","9","2 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Keep in in Category 4a","1"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","5 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Move to Category 5","14"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","16","17","0","0 (D)","17","0","13","0","0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","5","6","0","0 (D)","6","0","3","0","0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Non-tidal","Keep in in Category 3","9"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","25","1","1 (D)","25","1","15","1","11 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Tidal","Move to Category 5","7"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","14","14","2","2 (D)","14","2","13","2","4 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Move to Category 5","7"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","2","2 (D)","7","2","3","0","3 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","3","3 (D)","7","3","4","0","4 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","2","2","2 (D)","2","2","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","7 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","7","7 (D)","13","7","13","7","2 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153","No","Non-tidal","Keep in in Category 4a","1"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","6","3","3 (D)","6","3","3","1","2 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","6","7","0","0 (D)","7","0","4","0","0 (D)","3.1999999999999999E-5","4.06 - 153",NA,"Non-tidal","Keep in in Category 3","9"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","13","1","1 (D)","13","1","13","1","2 (D)","3.1999999999999999E-5","4.06 - 153","Yes","Non-tidal","Move to Category 5","7"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","24","52","2","2 (D)","52","2","40","2","18 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","14","56","2","2 (D)","56","2","37","1","28 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","14","14","1","1 (D)","14","1","13","1","8 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Non-tidal","Move to Category 5","14"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Move to Category 3","2"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","13","25","1","1 (D)","25","1","15","0","15 (D)","1.2999999999999999E-3","14.6 - 70.8","No","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1 (D)","7","1","3","1","1 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Take no action","15"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1 (D)","7","1","4","0","4 (D)","1.2999999999999999E-3","14.6 - 70.8","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","11 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Move to Category 3","2"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","7","19","2","2 (D)","19","2","12","2","4 (D)","1.2999999999999999E-3","14.6 - 70.8","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-3","14.6 - 70.8",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","NAPHTHALENE","PAH1",NA,"4a","24","52","0","0 (D)","52","0","40","0","0 (D)","NA","NA",NA,"Tidal","Move to Category 3","2"
"ANACOSTIA UPPER","NAPHTHALENE","PAH1",NA,"4a","14","56","3","0 (D)","56","0","37","0","0 (D)","NA","NA",NA,"Tidal","Move to Category 3","2"
"BROAD BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","15","15","0","0 (D)","14","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1",NA,"3","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","NAPHTHALENE","PAH1",NA,"3","15","16","0","0 (D)","15","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","NAPHTHALENE","PAH1",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","19","20","1","0 (D)","20","0","16","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"HICKEY RUN","NAPHTHALENE","PAH1",NA,"4a","5","6","2","0 (D)","6","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","NAPHTHALENE","PAH1",NA,"4a","13","25","2","0 (D)","25","0","15","0","0 (D)","NA","NA",NA,"Tidal","Move to Category 3","2"
"KLINGLE VALLEY","NAPHTHALENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","NAPHTHALENE","PAH1",NA,"4a","6","7","2","0 (D)","7","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"NORMANSTONE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","2","2","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"OXON RUN","NAPHTHALENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","NAPHTHALENE","PAH1",NA,"3","2","4","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","NAPHTHALENE","PAH1",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","NAPHTHALENE","PAH1",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"PORTAL BRANCH","NAPHTHALENE","PAH1",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","1","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","14","21","0","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"ROCK CREEK UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","6","23","2","0 (D)","0","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","NAPHTHALENE","PAH1",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","6","6","1","0 (D)","6","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"TIDAL BASIN","NAPHTHALENE","PAH1",NA,"3","3","3","1","0 (D)","3","0","0",NA,"0 (D)","NA","NA",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","NAPHTHALENE","PAH1",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","NA","NA",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","NAPHTHALENE","PAH1",NA,"3","3","3","1","0 (D)","3","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","NAPHTHALENE","PAH1",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","13","41","41","41 (D)","41","41","29","29","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","30","30","30 (D)","30","30","18","18","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6 (D)","6","6","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Keep in in Category 4a","1"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","7","7","7 (D)","7","7","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Keep in in Category 4a","1"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Move to Category 5","14"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","8","9","9","9 (D)","9","9","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Keep in in Category 4a","1"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3 (D)","3","3","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,"4a","7","18","18","18 (D)","18","18","12","12","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","6","6","6","6 (D)","6","6","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Keep in in Category 4a","1"
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","4","4","4 (D)","4","4","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3 (D)","3","3","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","2","2","2 (D)","2","2","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3 (D)","3","3","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL",NA,"4a","4","16","16","16 (D)","16","16","12","12","0 (D)","6.3999999999999997E-5","NA","Yes","Tidal","Keep in in Category 4a","1"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","3","3","3","3 (D)","3","3","0",NA,"0 (D)","6.3999999999999997E-5","NA","No","Non-tidal","Keep in in Category 4a","1"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","5","5","5","5 (D)","5","5","5","5","0 (D)","6.3999999999999997E-5","NA","Yes","Non-tidal","Keep in in Category 4a","1"
