"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,"3","2","4","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","FLUORANTHENE","PAH2",NA,"4a","6","7","1","0","7","0","4","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","20","0.00075 - 0.01",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","20","0.00075 - 0.01",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","20","0.00075 - 0.01",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","14","21","6","0","13","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","6","23","18","0","0","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2",NA,"3","2","2","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","6","6","1","0","6","0","3","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"TIDAL BASIN","FLUORANTHENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","20","0.00075 - 0.01",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2",NA,"3","7","19","4","0","19","0","12","0","20","0.00075 - 0.01",NA,"No exceedances","Remove from Category 3","10","No"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2",NA,"3","3","3","1","0","3","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","24","52","1","0","52","0","40","0","70","0.000286 - 0.00107",NA,"No exceedances","Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","14","56","2","0","56","0","37","0","70","0.000286 - 0.00107",NA,"No exceedances","Remove from Category 4a","3","Yes"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","14","15","0","0","15","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","19","20","0","0","20","0","16","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","5","6","0","0","6","0","3","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","13","25","1","0","25","0","15","0","70","0.000286 - 0.00107",NA,"No exceedances","Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","14","14","0","0","14","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","3","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","4","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","1","2","0","0","2","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","6","6","0","0","6","0","3","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","70","0.000286 - 0.00107",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","7","19","0","0","19","0","12","0","70","0.000286 - 0.00107",NA,"No exceedances","Remove from Category 3","10","No"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","13","13","0","0","13","0","13","0","70","0.000286 - 0.00107",NA,"NA - not sampled","Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","24","52","1","1","52","1","40","9","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in in Category 4a","5","Yes"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","17","105","23","23","105","23","86","0","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","14","8","8","14","8","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","15","11","11","15","11","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","5","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 3","18","No"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","16","17","0","0","17","0","13","0","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","5","6","0","0","6","0","3","0","3.2e-05","4.06 - 153",NA,"NA - not sampled","Keep in in Category 3","9","No"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","25","1","1","25","1","15","11","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in in Category 3","12","No"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","14","14","2","2","14","2","13","4","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","7","No"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","2","2","7","2","3","3","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","1","Yes"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","1","1","0","0","1","0","0","0","3.2e-05","4.06 - 153",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","3","3","7","3","4","4","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","1","Yes"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","2","2","2","2","2","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","1","No"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","0","0","13","0","13","0","3.2e-05","4.06 - 153",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","9","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","1","13","1","13","7","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","7","7","13","7","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","14","No"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Move to Category 3","2","No"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in in Category 4a","4","No"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","6","3","3","6","3","3","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","3","3","0","0","3","0","0","0","3.2e-05","4.06 - 153",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","7","19","0","0","19","0","12","0","3.2e-05","4.06 - 153",NA,"No exceedances","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","6","7","0","0","7","0","4","0","3.2e-05","4.06 - 153",NA,"NA - not sampled","Keep in in Category 3","9","No"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","13","1","1","13","1","13","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in in Category 3","12","No"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.0013","14.6 - 70.8","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","14","56","2","2","56","2","37","28","0.0013","14.6 - 70.8","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","14","14","1","1","14","1","13","8","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18","No"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","15","0","0","15","0","13","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Move to Category 3","2","Yes"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Move to Category 3","2","Yes"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.0013","14.6 - 70.8","No","No exceedances","Keep in in Category 4a","5","Yes"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.0013","14.6 - 70.8","Yes","NA - not sampled","Keep in in Category 4a","5","Yes"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","1","7","1","4","4","0.0013","14.6 - 70.8","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.0013","14.6 - 70.8",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","6","0","0","6","0","3","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Move to Category 3","2","Yes"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.0013","14.6 - 70.8",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.0013","14.6 - 70.8","Yes","No exceedances","Move to Category 5","7","No"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","0.0013","14.6 - 70.8",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","14.6 - 70.8",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","NAPHTHALENE","PAH1",NA,"4a","24","52","0","0","52","0","40","0","no criteria",NA,NA,"No exceedances",NA,"0","Yes"
"ANACOSTIA UPPER","NAPHTHALENE","PAH1",NA,"4a","14","56","3","0","56","0","37","0","no criteria",NA,NA,"No exceedances",NA,"0","Yes"
"BROAD BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","15","15","0","0","14","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1",NA,"3","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DUMBARTON OAKS","NAPHTHALENE","PAH1",NA,"3","15","16","0","0","15","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FENWICK BRANCH","NAPHTHALENE","PAH1",NA,"3","2","2","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","19","20","1","0","20","0","16","0","no criteria",NA,NA,"NA - not sampled",NA,"0","Yes"
"HICKEY RUN","NAPHTHALENE","PAH1",NA,"4a","5","6","2","0","6","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","Yes"
"KINGMAN LAKE","NAPHTHALENE","PAH1",NA,"4a","13","25","2","0","25","0","15","0","no criteria",NA,NA,"No exceedances",NA,"0","Yes"
"KLINGLE VALLEY","NAPHTHALENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
