"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","7","19","2","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,"4a","24","52","2","0","52","0","40","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,"4a","17","105","38","0","105","0","86","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","0","14","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","No"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,"4a","14","15","14","0","15","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","No"
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","0","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","16","17","0","0","17","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,"3","5","6","0","0","6","0","3","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 3","10","No"
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,"3","13","25","2","0","25","0","15","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 3","10","No"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","0","14","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","No"
"NASH RUN","DIELDRIN","DIELDRIN",NA,"4a","6","7","1","0","7","0","3","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"OXON RUN","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,"4a","2","2","2","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,"3","6","7","2","0","7","0","4","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 3","10","No"
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","2","2","0","2","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","2","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","14","14","5","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN",NA,"4a","18","19","0","0","0","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","0","1","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Move to Category 3","2","No"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","6","6","5","0","6","0","3","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"TIDAL BASIN","DIELDRIN","DIELDRIN",NA,"3","3","3","0","0","3","0","0","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN",NA,"3","7","19","0","0","19","0","12","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 3","10","No"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN",NA,"4a","6","7","4","0","7","0","4","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN",NA,"4a","13","13","4","0","13","0","13","0","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Remove from Category 4a","3","Yes"
"BATTERY KEMBLE CREEK","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"C&O CANAL","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","5.6000000000000001E-2","0.00214 - 0.0732","0.24","0.0005 - 0.0171",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,"4a","24","52","16","0","52","0","40","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,"4a","14","56","31","0","56","0","37","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","15","15","0","0","14","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,"3","15","16","1","0","15","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","10","No"
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,"3","2","2","1","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","19","20","2","0","20","0","16","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"HICKEY RUN","FLUORANTHENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,"4a","13","25","14","0","25","0","15","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","10","No"
"NASH RUN","FLUORANTHENE","PAH2",NA,"4a","6","7","4","0","7","0","3","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","2","2","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"OXON RUN","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,"3","2","4","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"POPE BRANCH","FLUORANTHENE","PAH2",NA,"4a","6","7","1","0","7","0","4","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","14","21","6","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","6","23","18","0","0","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2",NA,"3","2","2","0","0","1","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","6","6","1","0","6","0","3","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 4a","3","Yes"
"TIDAL BASIN","FLUORANTHENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2",NA,"3","7","19","4","0","19","0","12","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","10","No"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2",NA,"3","3","3","1","0","3","0","0","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","8","No"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","400","0.0000375 - 0.0005","no criteria",NA,NA,"Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"C&O CANAL","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","24","52","1","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","14","56","2","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","14","15","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","19","20","0","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","5","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","13","25","1","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","6","7","0","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","6","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","7","19","0","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","24","52","1","0","52","0","40","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","Yes"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","17","105","23","1","105","1","86","23","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","5","Yes"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","14","8","1","14","1","13","3","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","5","No"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","15","11","5","15","5","13","2","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","1","No"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","0","13","0","13","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","16","17","0","0","17","0","13","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Not listed - take no action","15","No"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","5","6","0","0","6","0","3","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Keep in Category 3","9","No"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","25","1","0","25","0","15","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Keep in Category 3","9","No"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","14","14","2","0","14","0","13","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Keep in Category 3","9","No"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","2","0","7","0","3","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","Yes"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","1","1","0","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","0","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942",NA,"Move to Category 3","2","No"
