"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"TIDAL BASIN","DIELDRIN","DIELDRIN",NA,"3","D","3","0","0","3","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","Exceedances in fish tissue","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN",NA,"3","D","19","0","0","19","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","Exceedances in fish tissue","Remove from Category 3","8"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN",NA,"4a","D","7","4","4","7","4","4","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN",NA,"4a","D","24","6","6","24","6","24","3","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"BATTERY KEMBLE CREEK","DIELDRIN","DIELDRIN",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","DIELDRIN","DIELDRIN",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","DIELDRIN","DIELDRIN",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,"4a","D","63","16","0","63","0","27","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,"4a","D","56","31","0","56","0","19","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","none","26","0","0","25","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,"3","D","27","1","0","26","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,"3","D","2","1","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","D","32","2","0","32","0","28","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","FLUORANTHENE","PAH2",NA,"4a","D","6","2","0","6","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,"4a","D","25","14","0","25","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,"3","D","3","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,"3","D","25","0","0","25","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","FLUORANTHENE","PAH2",NA,"4a","D","7","4","0","7","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","none","2","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","FLUORANTHENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,"3","D","4","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,"3","D","3","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","FLUORANTHENE","PAH2",NA,"4a","D","7","1","0","7","0","4","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,"3","D","2","0","0","2","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","none","32","6","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","none","23","18","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2",NA,"3","D","2","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","D","6","1","0","6","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","FLUORANTHENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2",NA,"3","D","19","4","0","19","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2",NA,"3","D","3","1","0","3","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2",NA,"3","D","24","0","0","24","0","24","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","FLUORANTHENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","D","63","1","0","63","0","27","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","D","56","2","0","56","0","19","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","D","26","0","0","26","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","D","32","0","0","32","0","28","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","D","6","0","0","6","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","D","25","1","0","25","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","D","25","0","0","25","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","FLUORENE","PAH1",NA,"4a","D","7","0","0","7","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","D","7","0","0","7","0","4","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","D","2","0","0","2","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","D","6","0","0","6","0","3","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","D","3","0","0","3","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","D","19","0","0","19","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","D","3","0","0","3","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","D","24","0","0","24","0","24","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","63","1","1","63","1","27","20","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","105","23","23","105","23","68","0","3.2e-05","4.06 - 153","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","25","14","14","25","14","24","3","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","26","17","17","26","17","24","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","1","24","1","24","16","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","29","0","0","29","0","25","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","6","0","0","6","0","3","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","25","1","1","25","1","3","11","3.2e-05","4.06 - 153","No","No exceedances","Keep in Category 3","12"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","25","7","7","25","7","24","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","7"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","7","2","2","7","2","3","3","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","1","0","0","1","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","7","3","3","7","3","4","4","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","2","2","2","2","2","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","1","24","1","24","20","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","1","24","1","24","18","3.2e-05","4.06 - 153","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","10","10","24","10","24","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","1","1","1","0","0","3.2e-05","4.06 - 153","No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","6","3","3","6","3","3","2","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","3","0","0","3","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","19","0","0","19","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","7","0","0","7","0","4","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","24","1","1","24","1","24","13","3.2e-05","4.06 - 153","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.2e-05","4.06 - 153","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","63","2","2","63","2","27","29","0.0013","14.6 - 70.8","No","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","56","2","2","56","2","19","28","0.0013","14.6 - 70.8","No","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","25","1","1","25","1","24","19","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","26","0","0","26","0","24","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","8","0.0013","14.6 - 70.8","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","32","0","0","32","0","28","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","25","1","1","25","1","3","15","0.0013","14.6 - 70.8","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","25","0","0","25","0","24","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","7","1","1","7","1","3","1","0.0013","14.6 - 70.8","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.0013","14.6 - 70.8","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","7","1","1","7","1","4","4","0.0013","14.6 - 70.8","No","NA - not sampled","Keep in Category 4a","5"
