"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"FORT STANTON TRIBUTARY","PAH3",NA,"","","20","16","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","PAH3",NA,"","","6","3","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","PAH3",NA,"","","25","15","2019","2","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","PAH3",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","PAH3",NA,"","","14","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","PAH3",NA,"","","7","3","2019","2","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","PAH3",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","PAH3",NA,"","","4","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","PAH3",NA,"","","7","4","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","PAH3",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","PAH3",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","PAH3",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","PAH3",NA,"","","19","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","PAH3",NA,"","","11","0","2008","3","2008","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"SOAPSTONE CREEK","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","PAH3",NA,"","","6","3","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","PAH3",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","PAH3",NA,"","","19","12","2016","2","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"WATTS BRANCH LOWER","PAH3",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","PAH3",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","PAH3",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","PAH3",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","PAH3",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","PAH3",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","PAH3",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","PCB_TOTAL",NA,"","","41","29","2021","0","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ANACOSTIA UPPER","PCB_TOTAL",NA,"","","30","18","2016","0","never","2 (CCC), 0 (CMC)","2014 (CCC) NA (CMC)","24 (CCC), NA (CMC)","Yes (CCC), No (CMC)","2014 - 2017 (CCC), Never (CMC)"
"BROAD BRANCH","PCB_TOTAL",NA,"","","6","5","2021","0","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"DALECARLIA TRIBUTARY","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","PCB_TOTAL",NA,"","","7","5","2021","0","2021","1 (CCC), 0 (CMC)","2020 (CCC) NA (CMC)","4 (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"FENWICK BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"FORT STANTON TRIBUTARY","PCB_TOTAL",NA,"","","9","5","2021","0","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"HICKEY RUN","PCB_TOTAL",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KINGMAN LAKE","PCB_TOTAL",NA,"","","18","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL",NA,"","","6","5","2021","0","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NASH RUN","PCB_TOTAL",NA,"","","4","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NORMANSTONE CREEK","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","PCB_TOTAL",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"PORTAL BRANCH","PCB_TOTAL",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC LOWER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC MIDDLE","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC UPPER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ROCK CREEK LOWER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ROCK CREEK UPPER","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","PCB_TOTAL",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"TIDAL BASIN","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL",NA,"","","16","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"WATTS BRANCH LOWER","PCB_TOTAL",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"WATTS BRANCH UPPER","PCB_TOTAL",NA,"","","5","5","2021","5","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BATTERY KEMBLE CREEK","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","PCB_TOTAL",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
