"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","5","6","2","0","6","0","3","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","13","25","3","1","25","1","15","15","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","14","14","0","0","14","0","13","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","6","7","3","1","7","1","3","1","0.13","0.1 - .677","Yes","NA - not sampled","Move to Category 3","6"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","6","7","1","0","7","0","4","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","1","2","0","0","2","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.13","0.1 - .677","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","10","0.13","0.1 - .677","Yes","No exceedances","Not listed - take no action","16"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","9","0.13","0.1 - .677","Yes","No exceedances","Not listed - take no action","16"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","11","0.13","0.1 - .677","Yes","NA - not sampled","Not listed - take no action","16"
"ROCK CREEK UPPER","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2",NA,"4a","6","6","1","1","6","1","3","3","0.13","0.1 - .677","No","NA - not sampled","Move to Category 3","6"
"TIDAL BASIN","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","0.13","0.1 - .677","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2",NA,"3","7","19","2","1","19","1","12","4","0.13","0.1 - .677","Yes","No exceedances","Remove from Category 3","13"
"WATTS BRANCH LOWER","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","CHRYSENE","PAH2",NA,"3","13","13","0","0","13","0","13","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","24","52","1","1","52","1","40","28","0.00013","115 - 600","Yes","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","14","56","1","1","56","1","37","28","0.00013","115 - 600","Yes","No exceedances","Keep in Category 4a","5"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","15","0","0","15","0","13","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","19","20","0","0","20","0","16","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.00013","115 - 600","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","14","0","0","14","0","13","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.00013","115 - 600","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1","7","1","4","4","0.00013","115 - 600","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","2","0","0","2","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00013","115 - 600","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.00013","115 - 600","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","6","0","0","6","0","3","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00013","115 - 600","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.00013","115 - 600","Yes","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","13","13","0","0","13","0","13","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,"4a","24","52","2","2","52","2","40","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,"4a","17","105","38","38","105","38","86","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9","14","9","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,"4a","14","15","14","14","15","14","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,"3","5","6","0","0","6","0","3","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,"3","13","25","2","2","25","2","15","2","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","7"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9","14","9","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"NASH RUN","DIELDRIN","DIELDRIN",NA,"4a","6","7","1","1","7","1","3","3","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,"4a","2","2","2","2","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,"3","6","7","2","2","7","2","4","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","7"
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","2","2","2","2","2","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1","13","1","13","9","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","2","2","13","2","13","9","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","14"
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1","13","1","13","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","14","14","5","5","13","5","13","3","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN",NA,"4a","18","19","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","6","6","5","5","6","5","3","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","DIELDRIN","DIELDRIN",NA,"3","3","3","0","0","3","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","Exceedances in fish tissue","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN",NA,"3","7","19","0","0","19","0","12","No exceedance","1.2e-06","100 - 3420","No exceedance","Exceedances in fish tissue","Keep in Category 3","9"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN",NA,"4a","6","7","4","4","7","4","4","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN",NA,"4a","13","13","4","4","13","4","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"BATTERY KEMBLE CREEK","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,"4a","24","52","16","0","52","0","40","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,"4a","14","56","31","0","56","0","37","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","15","15","0","0","14","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,"3","15","16","1","0","15","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,"3","2","2","1","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","19","20","2","0","20","0","16","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","FLUORANTHENE","PAH2",NA,"4a","5","6","2","0","6","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,"4a","13","25","14","0","25","0","15","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,"3","14","14","0","0","14","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","FLUORANTHENE","PAH2",NA,"4a","6","7","4","0","7","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","2","2","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,"3","2","4","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","FLUORANTHENE","PAH2",NA,"4a","6","7","1","0","7","0","4","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,"3","1","2","0","0","2","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","14","21","6","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","6","23","18","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2",NA,"3","2","2","0","0","1","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","6","6","1","0","6","0","3","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 4a","3"
"TIDAL BASIN","FLUORANTHENE","PAH2",NA,"3","3","3","0","0","3","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2",NA,"3","7","19","4","0","19","0","12","No exceedance","20","0.00075 - 0.01","No exceedance","No exceedances","Remove from Category 3","10"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2",NA,"3","3","3","1","0","3","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2",NA,"3","13","13","0","0","13","0","13","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","20","0.00075 - 0.01","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","24","52","1","0","52","0","40","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","14","56","2","0","56","0","37","No exceedance","70","0.000286 - 0.00107","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","14","15","0","0","15","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0","1","0","0","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","70","0.000286 - 0.00107","No exceedance","NA - not sampled","Not listed - take no action","15"
