"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"KINGMAN LAKE","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"KLINGLE VALLEY","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"LUZON BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"NASH RUN","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"NORMANSTONE CREEK","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"OXON RUN","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"PINEHURST BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"PINEY BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"POPE BRANCH","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"PORTAL BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"POTOMAC LOWER","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC MIDDLE","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC UPPER","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ROCK CREEK LOWER","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ROCK CREEK UPPER","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"SOAPSTONE CREEK","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"TIDAL BASIN","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","NAPHTHALENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"WATTS BRANCH LOWER","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"WATTS BRANCH UPPER","NAPHTHALENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"BATTERY KEMBLE CREEK","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"C&O CANAL","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FOUNDRY BRANCH","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL","4a","Keep in Category 4a",5,"Keep in Category 4a",1,"Keep in Category 4a"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"NASH RUN","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"OXON RUN","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK UPPER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"BATTERY KEMBLE CREEK","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","PCB_TOTAL","PCB_TOTAL","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","PCB_TOTAL","PCB_TOTAL","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KLINGLE VALLEY","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"NORMANSTONE CREEK","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","PYRENE","PAH2","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"TIDAL BASIN","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"WATTS BRANCH LOWER","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","PYRENE","PAH2","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","PYRENE","PAH2","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
