"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"OXON RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"PINEY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POPE BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","1","1","0","0","1","0","1","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"PORTAL BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","MERCURY","MERCURY","DISSOLVED","4a","13","13","0","0","13","0","13","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","MERCURY","MERCURY","DISSOLVED","4a","1","1","1","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","DISSOLVED","Not Listed","4","16","0","0","16","0","12","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","3","3","0","0","3","0","3","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"C&O CANAL","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","ZINC","ZINC","DISSOLVED","4a","24","52","42","0","52","0","40","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ZINC","ZINC","DISSOLVED","4a","14","56","51","0","56","0","37","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","13","13","4","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ZINC","ZINC","DISSOLVED","3","13","13","10","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","DISSOLVED","3","19","19","18","0","19","0","16","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","19","20","16","0","20","0","16","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"HICKEY RUN","ZINC","ZINC","DISSOLVED","3","150","150","136","0","150","0","102","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"KINGMAN LAKE","ZINC","ZINC","DISSOLVED","3","13","25","25","1","25","1","15","1","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","Yes","Remove from Category 3","13"
"KLINGLE VALLEY","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","DISSOLVED","3","13","13","3","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"NASH RUN","ZINC","ZINC","DISSOLVED","3","6","7","6","0","7","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"NORMANSTONE CREEK","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"OXON RUN","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"POPE BRANCH","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","1","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","10"
"PORTAL BRANCH","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ZINC","ZINC","DISSOLVED","Not Listed","13","13","1","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","ZINC","ZINC","DISSOLVED","Not Listed","13","13","1","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ZINC","ZINC","DISSOLVED","Not Listed","13","13","2","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ZINC","ZINC","DISSOLVED","4a","13","13","2","0","13","0","13","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","ZINC","ZINC","DISSOLVED","Not Listed","155","155","71","0","155","0","107","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ZINC","ZINC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","5","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","DISSOLVED","Not Listed","4","16","16","0","16","0","12","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","ZINC","ZINC","DISSOLVED","Not Listed","3","3","3","0","3","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","ZINC","ZINC","DISSOLVED","Not Listed","157","159","140","0","159","0","113","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ZINC","ZINC","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Remove from Category 3","8"
"C&O CANAL","ZINC","ZINC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","6","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","DISSOLVED","Not Listed","6","6","6","0","6","0","3","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","ZINC","ZINC","DISSOLVED","Not Listed","1","2","2","0","2","0","0","No exceedance","waterbody-specific","0.00966 - 0.114","waterbody-specific","0.00973 - 0.115","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","24","52","3","1","52","1","40","48","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No","Keep in Category 4a","5"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","17","105","21","6","105","6","86","0","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","14","15","0","0","15","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","16","17","1","1","17","1","13","11","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","5","6","0","0","6","0","3","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","13","25","3","0","25","0","15","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","14","14","1","1","14","1","13","9","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 3","12"
"NASH RUN","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","3","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","1","2","0","0","2","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","13","13","1","1","13","1","13","6","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Move to Category 3","18"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","1","1","0","0","1","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","6","6","6","5","6","5","3","1","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 4a","1"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","3","3","0","0","3","0","0","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","7","19","0","0","19","0","12","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","6","7","0","0","7","0","4","No exceedance","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","13","13","1","1","13","1","13","1","1E-3","0.2 - 5.2","1.1000000000000001","0.000182 -0.00473","Yes","Keep in Category 3","12"
